RENT_DT,USE_CNT
2022-05-09,165624
2022-05-10,171961
2022-05-11,172189
2022-05-12,173717
2022-05-13,173872
2022-05-14,147975
2022-05-15,146364
2022-05-16,170018
2022-05-17,174664
2022-05-18,147831
2022-05-19,171349
2022-05-20,177475
2022-05-21,158972
2022-05-22,149211
2022-05-23,169251
2022-05-24,176941
2022-05-25,134187
2022-05-26,172688
2022-05-27,183674
2022-05-28,164366
2022-05-29,148794
2022-05-30,161538
2022-05-31,183522
2022-06-01,171655
2022-06-02,177588
2022-06-03,180769
2022-06-04,157500
2022-06-05,126415
2022-06-06,136660
2022-06-07,179409
2022-06-08,182892
2022-06-09,150820
2022-06-10,155223
2022-06-11,160120
2022-06-12,143466
2022-06-13,169956
2022-06-14,166700
2022-06-15,73488
2022-06-16,159975
2022-06-17,181393
2022-06-18,153139
2022-06-19,143464
2022-06-20,181066
2022-06-21,178590
2022-06-22,182183
2022-06-23,54576
2022-06-24,152178
2022-06-25,146769
2022-06-26,122474
2022-06-27,94761
2022-06-28,112003
2022-06-29,52664
2022-06-30,8796
2022-07-01,157477
2022-07-02,131814
2022-07-03,114470
2022-07-04,151495
2022-07-05,149258
2022-07-06,142649
2022-07-07,116853
2022-07-08,150312
2022-07-09,134633
2022-07-10,110494
2022-07-11,146165
2022-07-12,167309
2022-07-13,21922
2022-07-14,152773
2022-07-15,167143
2022-07-16,110506
2022-07-17,128631
2022-07-18,166820
2022-07-19,168900
2022-07-20,145087
2022-07-21,112449
2022-07-22,153208
2022-07-23,79826
2022-07-24,113216
2022-07-25,145896
2022-07-26,160600
2022-07-27,161296
2022-07-28,155343
2022-07-29,147168
2022-07-30,107580
2022-07-31,29814
2022-08-01,108029
2022-08-02,57523
2022-08-03,102129
2022-08-04,148807
2022-08-05,145855
2022-08-06,106405
2022-08-07,97938
2022-08-08,21616
2022-08-09,482
2022-08-10,108150
2022-08-11,108359
2022-08-12,147095
2022-08-13,82346
2022-08-14,87778
2022-08-15,83889
2022-08-16,154262
2022-08-17,157992
2022-08-18,162177
2022-08-19,83749
2022-08-20,124465
2022-08-21,122387
2022-08-22,146073
2022-08-23,152206
2022-08-24,174857
2022-08-25,135157
2022-08-26,177280
2022-08-27,173160
2022-08-28,160419
2022-08-29,108867
2022-08-30,16813
2022-08-31,164300
2022-09-01,179335
2022-09-02,187990
2022-09-03,170688
2022-09-04,39346
2022-09-05,5208
2022-09-06,142342
2022-09-07,179904
2022-09-08,183813
2022-09-09,123214
2022-09-10,108686
2022-09-11,107758
2022-09-12,151839
2022-09-13,167657
2022-09-14,179632
2022-09-15,184021
2022-09-16,132177
2022-09-17,147263
2022-09-18,146845
2022-09-19,183185
2022-09-20,191647
2022-09-21,191552
2022-09-22,189285
2022-09-23,178980
2022-09-24,176718
2022-09-25,162742
2022-09-26,187570
2022-09-27,190671
2022-09-28,191599
2022-09-29,186203
2022-09-30,192637
2022-10-01,167146
2022-10-02,74505
2022-10-03,10808
2022-10-04,146098
2022-10-05,179823
2022-10-06,169380
2022-10-07,181963
2022-10-08,166738
2022-10-09,24967
2022-10-10,72486
2022-10-11,157515
2022-10-12,171261
2022-10-13,175694
2022-10-14,180404
2022-10-15,160506
2022-10-16,134682
2022-10-17,149610
2022-10-18,152317
2022-10-19,159648
2022-10-20,163095
2022-10-21,167708
2022-10-22,146897
2022-10-23,124542
2022-10-24,147964
2022-10-25,157818
2022-10-26,163029
2022-10-27,163518
2022-10-28,167012
2022-10-29,146309
2022-10-30,126689
2022-10-31,160104
2022-11-01,162915
2022-11-02,161137
2022-11-03,146669
2022-11-04,127701
2022-11-05,109289
2022-11-06,106961
2022-11-07,146671
2022-11-08,157940
2022-11-09,157102
2022-11-10,158854
2022-11-11,165829
2022-11-12,66913
2022-11-13,87873
2022-11-14,141076
2022-11-15,125173
2022-11-16,141697
2022-11-17,148575
2022-11-18,152299
2022-11-19,126813
2022-11-20,119926
2022-11-21,147804
2022-11-22,140739
2022-11-23,148237
2022-11-24,146931
2022-11-25,145163
2022-11-26,90546
2022-11-27,82724
2022-11-28,57035
2022-11-29,92577
2022-11-30,75346
2022-12-01,74900
2022-12-02,84066
2022-12-03,57915
2022-12-04,44872
2022-12-05,77692
2022-12-06,80829
2022-12-07,96193
2022-12-08,100976
2022-12-09,102211
2022-12-10,72959
2022-12-11,60127
2022-12-12,59098
2022-12-13,57488
2022-12-14,54483
2022-12-15,37020
2022-12-16,41951
2022-12-17,31405
2022-12-18,25468
2022-12-19,51852
2022-12-20,64281
2022-12-21,31784
2022-12-22,39873
2022-12-23,33721
2022-12-24,28611
2022-12-25,25622
2022-12-26,52582
2022-12-27,58889
2022-12-28,54012
2022-12-29,57392
2022-12-30,56058
2022-12-31,42347
2023-01-01,38027
2023-01-02,56594
2023-01-03,61240
2023-01-04,67705
2023-01-05,68697
2023-01-06,63109
2023-01-07,42485
2023-01-08,44610
2023-01-09,74132
2023-01-10,80600
2023-01-11,81986
2023-01-12,87593
2023-01-13,20790
2023-01-14,25896
2023-01-15,21414
2023-01-16,61309
2023-01-17,67334
2023-01-18,71357
2023-01-19,68357
2023-01-20,51397
2023-01-21,30226
2023-01-22,22752
2023-01-23,30880
2023-01-24,15265
2023-01-25,38328
2023-01-26,24339
2023-01-27,40220
2023-01-28,35889
2023-01-29,38345
2023-01-30,65611
2023-01-31,74828
2023-02-01,72474
2023-02-02,70751
2023-02-03,72688
2023-02-04,57937
2023-02-05,53806
2023-02-06,81304
2023-02-07,86525
2023-02-08,86845
2023-02-09,89610
2023-02-10,68843
2023-02-11,70622
2023-02-12,60691
2023-02-13,91949
2023-02-14,89966
2023-02-15,94660
2023-02-16,87392
2023-02-17,95470
2023-02-18,72418
2023-02-19,57599
2023-02-20,75723
2023-02-21,81583
2023-02-22,90320
2023-02-23,94716
2023-02-24,92585
2023-02-25,68020
2023-02-26,66857
2023-02-27,97891
2023-02-28,102195
2023-03-01,79637
2023-03-02,95447
2023-03-03,107213
2023-03-04,97285
2023-03-05,95137
2023-03-06,121402
2023-03-07,132492
2023-03-08,126426
2023-03-09,109298
2023-03-10,138821
2023-03-11,129565
2023-03-12,40919
2023-03-13,103766
2023-03-14,130018
2023-03-15,123016
2023-03-16,118550
2023-03-17,128102
2023-03-18,114611
2023-03-19,110627
2023-03-20,131589
2023-03-21,150431
2023-03-22,154549
2023-03-23,146754
2023-03-24,149032
2023-03-25,136959
2023-03-26,121287
2023-03-27,137984
2023-03-28,151848
2023-03-29,161393
2023-03-30,167431
2023-03-31,173889
2023-04-01,171977
2023-04-02,172415
2023-04-03,181273
2023-04-04,136858
2023-04-05,23103
2023-04-06,62142
2023-04-07,140639
2023-04-08,131981
2023-04-09,131331
2023-04-10,163117
2023-04-11,105353
2023-04-12,143616
2023-04-13,148978
2023-04-14,167786
2023-04-15,97305
2023-04-16,112186
2023-04-17,160890
2023-04-18,106063
2023-04-19,180746
2023-04-20,150792
2023-04-21,177949
2023-04-22,158022
2023-04-23,140444
2023-04-24,170623
2023-04-25,88205
2023-04-26,153562
2023-04-27,174519
2023-04-28,165729
2023-04-29,51328
2023-04-30,113121
2023-05-01,169162
2023-05-02,181355
2023-05-03,191697
2023-05-04,177946
2023-05-05,15582
2023-05-06,38108
2023-05-07,122748
2023-05-08,178649
2023-05-09,186369
2023-05-10,188817
2023-05-11,188662
2023-05-12,191292
2023-05-13,164529
2023-05-14,159837
2023-05-15,191109
2023-05-16,191712
2023-05-17,193523
2023-05-18,175232
2023-05-19,200047
2023-05-20,170199
2023-05-21,146661
2023-05-22,178832
2023-05-23,199091
2023-05-24,197704
2023-05-25,194903
2023-05-26,195431
2023-05-27,31640
2023-05-28,4992
2023-05-29,142075
2023-05-30,188615
2023-05-31,196321
2023-06-01,199157
2023-06-02,201999
2023-06-03,170763
2023-06-04,155375
2023-06-05,194303
2023-06-06,167365
2023-06-07,196584
2023-06-08,169185
2023-06-09,193083
2023-06-10,141920
2023-06-11,131270
2023-06-12,183366
2023-06-13,203582
2023-06-14,189560
2023-06-15,199262
2023-06-16,200401
2023-06-17,164879
2023-06-18,140332
2023-06-19,181873
2023-06-20,161784
2023-06-21,93551
2023-06-22,192380
2023-06-23,196516
2023-06-24,155928
2023-06-25,133560
2023-06-26,59287
2023-06-27,179787
2023-06-28,185926
2023-06-29,35324
2023-06-30,155249
2023-07-01,138847
2023-07-02,132514
2023-07-03,171024
2023-07-04,79770
2023-07-05,171937
2023-07-06,185513
2023-07-07,191205
2023-07-08,154422
2023-07-09,81833
2023-07-10,159152
2023-07-11,56816
2023-07-12,168413
2023-07-13,41162
2023-07-14,24223
2023-07-15,69393
2023-07-16,93350
2023-07-17,147342
2023-07-18,118187
2023-07-19,173221
2023-07-20,169873
2023-07-21,160859
2023-07-22,84757
2023-07-23,31836
2023-07-24,161068
2023-07-25,158701
2023-07-26,146478
2023-07-27,159891
2023-07-28,153266
2023-07-29,119931
2023-07-30,81861
2023-07-31,145076
2023-08-01,152759
2023-08-02,153379
2023-08-03,152244
2023-08-04,147758
2023-08-05,112326
2023-08-06,96073
2023-08-07,145549
2023-08-08,153586
2023-08-09,155570
2023-08-10,9333
2023-08-11,47227
2023-08-12,102782
2023-08-13,119032
2023-08-14,156349
2023-08-15,132092
2023-08-16,169883
2023-08-17,170943
2023-08-18,161694
2023-08-19,134300
2023-08-20,122591
2023-08-21,163978
2023-08-22,101676
2023-08-23,57839
2023-08-24,148740
2023-08-25,173590
2023-08-26,149424
2023-08-27,126013
2023-08-28,66913
2023-08-29,63963
2023-08-30,100737
2023-08-31,187062
2023-09-01,196232
2023-09-02,167368
2023-09-03,136336
2023-09-04,178035
2023-09-05,174695
2023-09-06,187664
2023-09-07,131815
2023-09-08,196669
2023-09-09,167330
2023-09-10,153528
2023-09-11,199360
2023-09-12,201160
2023-09-13,53258
2023-09-14,194663
2023-09-15,116771
2023-09-16,94642
2023-09-17,135098
2023-09-18,200340
2023-09-19,202883
2023-09-20,37780
2023-09-21,198837
2023-09-22,210999
2023-09-23,186456
2023-09-24,167382
2023-09-25,157391
2023-09-26,27143
2023-09-27,141357
2023-09-28,126055
2023-09-29,103986
2023-09-30,103692
2023-10-01,151018
2023-10-02,171032
2023-10-03,167054
2023-10-04,132535
2023-10-05,186078
2023-10-06,200071
2023-10-07,176984
2023-10-08,141611
2023-10-09,151128
2023-10-10,195284
2023-10-11,204171
2023-10-12,201392
2023-10-13,203658
2023-10-14,111636
2023-10-15,159329
2023-10-16,189740
2023-10-17,191773
2023-10-18,193917
2023-10-19,118197
2023-10-20,170242
2023-10-21,132498
2023-10-22,134063
2023-10-23,184117
2023-10-24,187762
2023-10-25,192775
2023-10-26,164553
2023-10-27,192263
2023-10-28,160763
2023-10-29,147449
2023-10-30,186952
2023-10-31,193104
2023-11-01,187985
2023-11-02,202591
2023-11-03,160425
2023-11-04,161019
2023-11-05,59274
2023-11-06,47696
2023-11-07,138373
2023-11-08,159094
2023-11-09,134268
2023-11-10,129646
2023-11-11,87792
2023-11-12,68273
2023-11-13,117861
2023-11-14,136263
2023-11-15,147363
2023-11-16,58042
2023-11-17,106101
2023-11-18,74022
2023-11-19,84578
2023-11-20,133535
2023-11-21,142663
2023-11-22,148943
2023-11-23,131149
2023-11-24,99890
2023-11-25,70553
2023-11-26,71058
2023-11-27,77695
2023-11-28,109145
2023-11-29,100190
2023-11-30,88347
2023-12-01,92490
2023-12-02,72802
2023-12-03,64169
2023-12-04,109552
2023-12-05,124074
2023-12-06,88353
2023-12-07,120225
2023-12-08,131892
2023-12-09,104904
2023-12-10,90684
2023-12-11,21196
2023-12-12,107447
2023-12-13,122094
2023-12-14,32527
2023-12-15,29491
2023-12-16,35058
2023-12-17,29900
2023-12-18,62247
2023-12-19,66151
2023-12-20,42819
2023-12-21,45351
2023-12-22,46935
2023-12-23,41326
2023-12-24,27591
2023-12-25,27329
2023-12-26,74783
2023-12-27,82138
2023-12-28,82350
2023-12-29,84167
2023-12-30,15214
2023-12-31,29129
2024-01-01,46628
2024-01-02,86397
2024-01-03,71805
2024-01-04,90104
2024-01-05,94923
2024-01-06,57176
2024-01-07,31450
2024-01-08,64949
2024-01-09,38224
2024-01-10,68179
2024-01-11,81574
2024-01-12,83976
2024-01-13,64103
2024-01-14,29011
2024-01-15,69542
2024-01-16,78770
2024-01-17,36748
2024-01-18,75776
2024-01-19,90529
2024-01-20,41782
2024-01-21,36989
2024-01-22,48139
2024-01-23,43595
2024-01-24,50771
2024-01-25,62371
2024-01-26,75062
2024-01-27,57700
2024-01-28,48382
2024-01-29,78801
2024-01-30,86595
2024-01-31,93212
2024-02-01,91540
2024-02-02,94969
2024-02-03,67693
2024-02-04,72950
2024-02-05,28209
2024-02-06,75264
2024-02-07,83368
2024-02-08,87764
2024-02-09,46880
2024-02-10,34184
2024-02-11,42842
2024-02-12,65446
2024-02-13,105495
2024-02-14,123154
2024-02-15,56304
2024-02-16,99952
2024-02-17,89416
2024-02-18,39094
2024-02-19,39917
2024-02-20,54433
2024-02-21,9618
2024-02-22,29137
2024-02-23,75742
2024-02-24,55704
2024-02-25,49385
2024-02-26,98018
2024-02-27,104188
2024-02-28,108932
2024-02-29,102009
2024-03-01,45201
2024-03-02,54612
2024-03-03,65370
2024-03-04,108117
2024-03-05,110776
2024-03-06,116835
2024-03-07,98080
2024-03-08,99704
2024-03-09,78185
2024-03-10,81204
2024-03-11,114631
2024-03-12,79695
2024-03-13,120866
2024-03-14,126955
2024-03-15,130981
2024-03-16,118333
2024-03-17,87951
2024-03-18,123579
2024-03-19,102640
2024-03-20,112266
2024-03-21,122101
2024-03-22,81651
2024-03-23,123500
2024-03-24,142055
2024-03-25,58723
2024-03-26,87487
2024-03-27,141391
2024-03-28,88255
2024-03-29,91980
2024-03-30,111703
2024-03-31,126238
2024-04-01,149994
2024-04-02,167897
2024-04-03,152455
2024-04-04,169109
2024-04-05,175766
2024-04-06,160688
2024-04-07,155131
2024-04-08,165751
2024-04-09,175191
2024-04-10,153280
2024-04-11,159006
2024-04-12,178578
2024-04-13,162838
2024-04-14,147693
2024-04-15,62438
2024-04-16,121305
2024-04-17,163243
2024-04-18,170392
2024-04-19,176552
2024-04-20,41454
2024-04-21,129190
2024-04-22,176570
2024-04-23,151834
2024-04-24,109241
2024-04-25,170645
2024-04-26,180694
2024-04-27,161802
2024-04-28,147977
2024-04-29,180032
2024-04-30,182952
2024-05-01,181438
2024-05-02,186102
2024-05-03,190513
2024-05-04,157012
2024-05-05,14293
2024-05-06,25673
2024-05-07,73349
2024-05-08,176782
2024-05-09,177943
2024-05-10,189085
2024-05-11,62198
2024-05-12,146930
2024-05-13,182533
2024-05-14,192259
2024-05-15,54561
2024-05-16,171716
2024-05-17,190743
2024-05-18,169965
2024-05-19,152131
2024-05-20,178251
2024-05-21,186294
2024-05-22,186670
2024-05-23,185654
2024-05-24,189912
2024-05-25,167421
2024-05-26,62694
2024-05-27,179250
2024-05-28,193341
2024-05-29,189814
2024-05-30,187446
2024-05-31,186890
2024-06-01,167882
2024-06-02,154179
2024-06-03,187320
2024-06-04,194251
2024-06-05,193161
2024-06-06,150186
2024-06-07,176149
2024-06-08,108167
2024-06-09,144223
2024-06-10,184809
2024-06-11,185339
2024-06-12,185735
2024-06-13,180565
2024-06-14,184771
2024-06-15,135545
2024-06-16,138902
2024-06-17,183972
2024-06-18,185037
2024-06-19,176976
2024-06-20,176280
2024-06-21,181228
2024-06-22,60126
2024-06-23,106449
2024-06-24,176784
2024-06-25,194241
2024-06-26,186825
2024-06-27,184932
2024-06-28,178132
2024-06-29,99995
2024-06-30,95578
2024-07-01,182407
2024-07-02,39423
2024-07-03,164914
2024-07-04,158332
2024-07-05,170990
2024-07-06,95365
2024-07-07,82458
2024-07-08,49085
2024-07-09,131039
2024-07-10,157079
2024-07-11,176877
2024-07-12,178467
2024-07-13,132042
2024-07-14,116652
2024-07-15,166488
2024-07-16,93992
2024-07-17,51997
2024-07-18,42866
2024-07-19,158608
2024-07-20,84487
2024-07-21,97476
2024-07-22,85672
2024-07-23,113308
2024-07-24,126749
2024-07-25,131191
2024-07-26,117450
2024-07-27,76392
2024-07-28,102031
2024-07-29,138811
2024-07-30,150500
2024-07-31,149858
2024-08-01,145479
2024-08-02,140142
2024-08-03,105215
2024-08-04,89606
2024-08-05,123144
2024-08-06,136536
2024-08-07,141026
2024-08-08,137386
2024-08-09,139471
2024-08-10,114522
2024-08-11,99627
2024-08-12,143220
2024-08-13,134065
2024-08-14,132723
2024-08-15,102408
2024-08-16,140840
2024-08-17,105962
2024-08-18,93504
2024-08-19,142992
2024-08-20,146658
2024-08-21,73098
2024-08-22,125868
2024-08-23,151292
2024-08-24,105509
2024-08-25,101720
2024-08-26,142224
2024-08-27,149058
2024-08-28,166233
2024-08-29,166655
2024-08-30,167324
2024-08-31,134541
2024-09-01,125165
2024-09-02,153786
2024-09-03,178899
2024-09-04,176847
2024-09-05,142465
2024-09-06,150532
2024-09-07,148975
2024-09-08,131428
2024-09-09,170520
2024-09-10,169974
2024-09-11,154072
2024-09-12,62018
2024-09-13,75820
2024-09-14,115902
2024-09-15,102885
2024-09-16,89290
2024-09-17,79398
2024-09-18,101362
2024-09-19,155480
2024-09-20,49117
2024-09-21,112108
2024-09-22,159558
2024-09-23,188292
2024-09-24,191155
2024-09-25,187724
2024-09-26,176097
2024-09-27,191564
2024-09-28,168997
2024-09-29,154567
2024-09-30,186545
2024-10-01,131743
2024-10-02,176827
2024-10-03,154005
2024-10-04,181957
2024-10-05,165474
2024-10-06,108633
2024-10-07,173882
2024-10-08,182669
2024-10-09,160337
2024-10-10,180117
2024-10-11,189277
2024-10-12,161677
2024-10-13,142161
2024-10-14,171308
2024-10-15,155610
2024-10-16,181089
2024-10-17,181158
2024-10-18,78673
2024-10-19,130839
2024-10-20,122486
2024-10-21,154399
2024-10-22,26814
2024-10-23,143675
2024-10-24,159362
2024-10-25,166443
2024-10-26,145489
2024-10-27,110955
2024-10-28,159272
2024-10-29,154496
2024-10-30,167856
2024-10-31,167806
2024-11-01,166365
2024-11-02,146372
2024-11-03,132606
